Sequence Name	Prediction Confidence	R-Statistic	Length
NC_002528_327457+327867	94.000%	1.000000	411
NC_002528_383914+384393	96.000%	11.000000	480
NC_002528_328131+328694	90.000%	2.000000	564
NC_002528_164171+164230	92.000%	0.000000	60
NC_002528_18131+18190	82.000%	0.000000	60
NC_002528_204331+204390	94.000%	0.000000	60
NC_002528_212192+212251	98.000%	0.000000	60
NC_002528_540640+540699	82.000%	0.000000	60
NC_002528_76379+76438	84.000%	0.000000	60
NC_002528_76384+76443	96.000%	0.000000	60
NC_002528_76843+76902	86.000%	0.000000	60
NC_002528_87265+87324	92.000%	0.000000	60
NC_002528_319051+319113	94.000%	0.000000	63
NC_002528_76240+76302	100.000%	0.000000	63
NC_002528_93272+93334	98.000%	0.000000	63
NC_002528_202931+202996	90.000%	0.000000	66
NC_002528_251090+251155	94.000%	0.000000	66
NC_002528_353693+353758	100.000%	0.000000	66
NC_002528_164250+164318	90.000%	0.000000	69
NC_002528_180022+180090	92.000%	0.000000	69
NC_002528_251311+251379	78.000%	0.000000	69
NC_002528_325352+325420	84.000%	0.000000	69
NC_002528_353777+353845	92.000%	0.000000	69
NC_002528_540739+540807	82.000%	0.000000	69
NC_002528_578932+579000	86.000%	0.000000	69
NC_002528_235486+235557	84.000%	0.000000	72
NC_002528_45871+45942	80.000%	0.000000	72
NC_002528_555371+555442	62.000%	0.000000	72
NC_002528_625097+625168	74.000%	0.000000	72
NC_002528_439103+439177	70.000%	0.000000	75
NC_002528_116832+116909	96.000%	0.000000	78
NC_002528_179520+179600	96.000%	0.000000	81
NC_002528_235691+235771	90.000%	0.000000	81
NC_002528_579448+579528	96.000%	0.000000	81
NC_002528_589165+589245	92.000%	0.000000	81
NC_002528_268406+268489	100.000%	0.000000	84
NC_002528_420050+420133	88.000%	0.000000	84
NC_002528_274412+274498	94.000%	0.000000	87
NC_002528_445146+445232	60.000%	0.000000	87
NC_002528_446679+446765	98.000%	0.000000	87
NC_002528_461229+461321	96.000%	0.000000	93
NC_002528_204269+204373	98.000%	0.000000	105
NC_002528_436860+436964	100.000%	0.000000	105
NC_002528_540925+541035	70.000%	0.000000	111
NC_002528_143393+143509	96.000%	0.000000	117
NC_002528_541911+542027	86.000%	0.000000	117
NC_002528_539930+540058	62.000%	0.000000	129
NC_002528_116673+116804	84.000%	0.000000	132
NC_002528_521925+522059	54.000%	0.000000	135
