Sequence Name	Match Sequence in Positive Strand	Percentage Matching	Match Type(0~Absolute,1~Partial(stop),2~Partial(start),3~Over absolute)	Prediction Confidence	R-Statistic	Length
NC_002528_226706-226359	NC_002528_223819+226482	35.63%	2	98.000%	0.000000	348
NC_002528_236220-235843	NC_002528_237671-236217	1.06%	1	98.000%	0.000000	378
NC_002528_326606-326211	NC_002528_325561+326760	100.00%	0	82.000%	2.000000	396
NC_002528_91903-91484	NC_002528_91575+92915	78.33%	1	90.000%	0.000000	420
NC_002528_19739-19308	NC_002528_18715+20361	100.00%	0	100.000%	0.000000	432
NC_002528_17507-17019	NC_002528_16648+18009	100.00%	0	92.000%	1.000000	489
NC_002528_88386-87886	NC_002528_87905+90817	96.21%	1	96.000%	12.000000	501
NC_002528_268846-268535	NC_002528_268530+269681	100.00%	0	84.000%	51.000000	312
NC_002528_110910-110851	NC_002528_110673+111269	100.00%	0	88.000%	0.000000	60
NC_002528_112164-112105	NC_002528_111628+113034	100.00%	0	98.000%	0.000000	60
NC_002528_114240-114181	NC_002528_113965+115608	100.00%	0	98.000%	0.000000	60
NC_002528_11525-11466	NC_002528_12549-11449	100.00%	0	78.000%	0.000000	60
NC_002528_123119-123060	NC_002528_122941+123573	100.00%	0	96.000%	0.000000	60
NC_002528_143932-143873	NC_002528_143868+144713	100.00%	0	96.000%	0.000000	60
NC_002528_151942-151883	NC_002528_152939-149700	100.00%	0	88.000%	0.000000	60
NC_002528_153386-153327	NC_002528_154116-152953	100.00%	0	96.000%	0.000000	60
NC_002528_167962-167903	NC_002528_167482+167970	100.00%	0	84.000%	0.000000	60
NC_002528_168976-168917	NC_002528_167967+169301	100.00%	0	78.000%	0.000000	60
NC_002528_175842-175783	NC_002528_174514+176358	100.00%	0	98.000%	0.000000	60
NC_002528_178945-178886	NC_002528_177979+179439	100.00%	0	98.000%	0.000000	60
NC_002528_191284-191225	NC_002528_189582+191708	100.00%	0	98.000%	0.000000	60
NC_002528_194681-194622	NC_002528_195492-193204	100.00%	0	82.000%	0.000000	60
NC_002528_209976-209917	NC_002528_211696-209246	100.00%	0	90.000%	0.000000	60
NC_002528_241184-241125	NC_002528_241299-239971	100.00%	0	94.000%	0.000000	60
NC_002528_24614-24555	NC_002528_23651+24787	100.00%	0	92.000%	0.000000	60
NC_002528_249095-249036	NC_002528_250534-248819	100.00%	0	98.000%	0.000000	60
NC_002528_253420-253361	NC_002528_252044+253588	100.00%	0	80.000%	0.000000	60
NC_002528_257936-257877	NC_002528_257242+257970	100.00%	0	92.000%	0.000000	60
NC_002528_312681-312622	NC_002528_312883-312083	100.00%	0	92.000%	0.000000	60
NC_002528_323360-323301	NC_002528_325086-322648	100.00%	0	94.000%	0.000000	60
NC_002528_338876-338817	NC_002528_338127+339089	100.00%	0	92.000%	0.000000	60
