Sequence Name	Match Sequence in Negative Strand	Percentage Matching	Match Type(0~Absolute,1~Partial(stop),2~Partial(start),3~Over absolute)	Prediction Confidence	R-Statistic	Length
NC_002528_362002+362310	NC_002528_362522-361710	100.00%	0	98.000%	0.000000	309
NC_002528_421881+422201	NC_002528_422131-420797	78.19%	2	90.000%	5.000000	321
NC_002528_266965+267288	NC_002528_268190-266472	100.00%	0	94.000%	5.000000	324
NC_002528_401761+402084	NC_002528_404468-401601	100.00%	0	94.000%	0.000000	324
NC_002528_384531+384872	NC_002528_384859+385593	4.09%	1	94.000%	2.000000	342
NC_002528_458223+458570	NC_002528_459220-457799	100.00%	0	92.000%	0.000000	348
NC_002528_624955+625302	NC_002528_624014+624958	1.15%	2	92.000%	3.000000	348
NC_002528_105591+105650	NC_002528_105077+106384	100.00%	0	86.000%	0.000000	60
NC_002528_140160+140219	NC_002528_142260-140188	53.33%	1	86.000%	0.000000	60
NC_002528_151188+151247	NC_002528_152939-149700	100.00%	0	88.000%	0.000000	60
NC_002528_156548+156607	NC_002528_156645-156163	100.00%	0	80.000%	0.000000	60
NC_002528_164525+164584	NC_002528_164454+164858	100.00%	0	88.000%	0.000000	60
NC_002528_168022+168081	NC_002528_167967+169301	100.00%	0	92.000%	0.000000	60
NC_002528_182382+182441	NC_002528_183326-182379	100.00%	0	78.000%	0.000000	60
NC_002528_194771+194830	NC_002528_195492-193204	100.00%	0	98.000%	0.000000	60
NC_002528_209233+209292	NC_002528_211696-209246	78.33%	1	90.000%	0.000000	60
NC_002528_290241+290300	NC_002528_290048+290383	100.00%	0	78.000%	0.000000	60
NC_002528_307823+307882	NC_002528_307521+308273	100.00%	0	84.000%	0.000000	60
NC_002528_319432+319491	NC_002528_320146-319115	100.00%	0	76.000%	0.000000	60
NC_002528_324400+324459	NC_002528_325086-322648	100.00%	0	88.000%	0.000000	60
NC_002528_32705+32764	NC_002528_31191+33467	100.00%	0	78.000%	0.000000	60
NC_002528_336591+336650	NC_002528_335888+337150	100.00%	0	84.000%	0.000000	60
NC_002528_343842+343901	NC_002528_344999-343716	100.00%	0	90.000%	0.000000	60
NC_002528_366358+366417	NC_002528_367777-366242	100.00%	0	62.000%	0.000000	60
NC_002528_380066+380125	NC_002528_382004-379296	100.00%	0	82.000%	0.000000	60
NC_002528_410625+410684	NC_002528_411167-409362	100.00%	0	80.000%	0.000000	60
NC_002528_41161+41220	NC_002528_44650-40622	100.00%	0	90.000%	0.000000	60
NC_002528_414905+414964	NC_002528_415185-414247	100.00%	0	92.000%	0.000000	60
NC_002528_448603+448662	NC_002528_448869-448198	100.00%	0	86.000%	0.000000	60
NC_002528_498719+498778	NC_002528_497500+500772	100.00%	0	84.000%	0.000000	60
NC_002528_505722+505781	NC_002528_505439+505921	100.00%	0	90.000%	0.000000	60
NC_002528_509165+509224	NC_002528_510418-508592	100.00%	0	80.000%	0.000000	60
NC_002528_516753+516812	NC_002528_516791-514803	65.00%	2	84.000%	0.000000	60
NC_002528_5536+5595	NC_002528_4530+6068	100.00%	0	84.000%	0.000000	60
NC_002528_558660+558719	NC_002528_559214-558609	100.00%	0	84.000%	0.000000	60
NC_002528_596707+596766	NC_002528_597694-595499	100.00%	0	96.000%	0.000000	60
NC_002528_635367+635426	NC_002528_635225+635608	100.00%	0	96.000%	0.000000	60
NC_002528_635449+635508	NC_002528_635225+635608	100.00%	0	94.000%	0.000000	60
NC_002528_116566+116628	NC_002528_116567-115656	3.17%	2	98.000%	0.000000	63
NC_002528_120102+120164	NC_002528_119894+120538	100.00%	0	100.000%	0.000000	63
NC_002528_130097+130159	NC_002528_129211+130308	100.00%	0	74.000%	0.000000	63
NC_002528_13086+13148	NC_002528_13849-12554	100.00%	0	98.000%	0.000000	63
NC_002528_141480+141542	NC_002528_142260-140188	100.00%	0	76.000%	0.000000	63
NC_002528_198994+199056	NC_002528_198321+199037	69.84%	2	84.000%	0.000000	63
NC_002528_203742+203804	NC_002528_204243-203578	100.00%	0	92.000%	0.000000	63
NC_002528_205978+206040	NC_002528_205836+206924	100.00%	0	90.000%	0.000000	63
NC_002528_217040+217102	NC_002528_216262+218544	100.00%	0	96.000%	0.000000	63
NC_002528_219783+219845	NC_002528_218774+221401	100.00%	0	98.000%	0.000000	63
NC_002528_228868+228930	NC_002528_227748+229169	100.00%	0	90.000%	0.000000	63
NC_002528_236610+236672	NC_002528_237671-236217	100.00%	0	86.000%	0.000000	63
NC_002528_243835+243897	NC_002528_245217-243724	100.00%	0	96.000%	0.000000	63
NC_002528_263184+263246	NC_002528_262859+266344	100.00%	0	98.000%	0.000000	63
NC_002528_266814+266876	NC_002528_268190-266472	100.00%	0	92.000%	0.000000	63
NC_002528_26784+26846	NC_002528_27810-25945	100.00%	0	68.000%	0.000000	63
NC_002528_282479+282541	NC_002528_282490-281861	19.05%	2	92.000%	0.000000	63
NC_002528_284054+284116	NC_002528_284464-283520	100.00%	0	86.000%	0.000000	63
NC_002528_297466+297528	NC_002528_297898-297485	69.84%	1	98.000%	0.000000	63
NC_002528_299450+299512	NC_002528_299698-298238	100.00%	0	90.000%	0.000000	63
NC_002528_300653+300715	NC_002528_301056-300523	100.00%	0	98.000%	0.000000	63
NC_002528_312756+312818	NC_002528_312883-312083	100.00%	0	88.000%	0.000000	63
NC_002528_326424+326486	NC_002528_325561+326760	100.00%	0	90.000%	0.000000	63
