Sequence Name	Prediction Confidence	R-Statistic	Length
NC_002528_343328-343005	100.000%	0.000000	324
NC_002528_251880-251281	96.000%	1.000000	600
NC_002528_125853-125794	98.000%	0.000000	60
NC_002528_235590-235531	96.000%	0.000000	60
NC_002528_318048-317989	96.000%	0.000000	60
NC_002528_48634-48575	98.000%	0.000000	60
NC_002528_318950-318888	86.000%	0.000000	63
NC_002528_338078-338016	92.000%	0.000000	63
NC_002528_343107-343045	62.000%	0.000000	63
NC_002528_48606-48544	92.000%	0.000000	63
NC_002528_489953-489891	94.000%	0.000000	63
NC_002528_567150-567088	92.000%	0.000000	63
NC_002528_443328-443263	76.000%	0.000000	66
NC_002528_555363-555298	90.000%	0.000000	66
NC_002528_585224-585159	86.000%	0.000000	66
NC_002528_384247-384176	80.000%	0.000000	72
NC_002528_574530-574459	92.000%	0.000000	72
NC_002528_353875-353801	94.000%	0.000000	75
NC_002528_526923-526849	98.000%	0.000000	75
NC_002528_340888-340811	88.000%	0.000000	78
NC_002528_6162-6085	90.000%	0.000000	78
NC_002528_235547-235467	92.000%	0.000000	81
NC_002528_541873-541793	84.000%	0.000000	81
NC_002528_63071-62991	82.000%	0.000000	81
NC_002528_101902-101819	90.000%	0.000000	84
NC_002528_230069-229986	74.000%	0.000000	84
NC_002528_581604-581521	92.000%	0.000000	84
NC_002528_121941-121855	78.000%	0.000000	87
NC_002528_625858-625772	86.000%	0.000000	87
NC_002528_627999-627913	74.000%	0.000000	87
NC_002528_202807-202718	78.000%	0.000000	90
NC_002528_390524-390435	98.000%	0.000000	90
NC_002528_235390-235298	98.000%	0.000000	93
NC_002528_443565-443473	92.000%	0.000000	93
NC_002528_384511-384413	74.000%	0.000000	99
NC_002528_461255-461157	92.000%	0.000000	99
NC_002528_340990-340889	62.000%	0.000000	102
NC_002528_204405-204292	94.000%	0.000000	114
NC_002528_14694-14578	52.000%	0.000000	117
NC_002528_325473-325339	82.000%	0.000000	135
NC_002528_328393-328220	64.000%	0.000000	174
NC_002528_328162-327905	92.000%	0.000000	258
