Sequence Name	Prediction Confidence	R-Statistic	Length
NC_000917_2056990+2057289	51.000%	0.000000	300
NC_000917_598799+599098	75.000%	0.000000	300
NC_000917_1057132+1057437	96.000%	30.000000	306
NC_000917_1612473+1612778	63.500%	20.000000	306
NC_000917_1776992+1777297	79.500%	20.000000	306
NC_000917_1493300+1493608	99.000%	0.000000	309
NC_000917_1538754+1539065	90.000%	0.000000	312
NC_000917_1982150+1982461	99.500%	0.000000	312
NC_000917_2002870+2003184	88.500%	0.000000	315
NC_000917_422672+422986	82.500%	30.000000	315
NC_000917_56457+56771	97.000%	30.000000	315
NC_000917_132540+132857	64.500%	0.000000	318
NC_000917_954471+954791	68.000%	10.000000	321
NC_000917_864849+865172	77.500%	30.000000	324
NC_000917_907286+907612	79.500%	0.000000	327
NC_000917_2136667+2136978	53.000%	90.000000	312
NC_000917_1334952+1335263	95.500%	50.000000	312
