Sequence Name	Prediction Confidence	R-Statistic	Length
NC_000917_13818-13519	78.000%	20.000000	300
NC_000917_1599466-1599167	91.500%	0.000000	300
NC_000917_7873-7574	93.500%	0.000000	300
NC_000917_1543866-1543564	99.000%	0.000000	303
NC_000917_629574-629269	58.500%	0.000000	306
NC_000917_686925-686620	100.000%	10.000000	306
NC_000917_98116-97805	89.500%	0.000000	312
NC_000917_871517-871203	92.500%	20.000000	315
NC_000917_1815991-1815674	64.500%	20.000000	318
NC_000917_1807201-1806881	87.000%	10.000000	321
NC_000917_841933-841613	89.000%	0.000000	321
NC_000917_329774-329451	54.500%	0.000000	324
NC_000917_1861098-1860772	95.000%	0.000000	327
NC_000917_488480-488154	54.000%	0.000000	327
NC_000917_1907870-1907541	69.000%	20.000000	330
NC_000917_187784-187482	100.000%	60.000000	303
NC_000917_1513127-1512819	94.500%	100.000000	309
NC_000917_1144674-1144363	71.500%	100.000000	312
NC_000917_437505-437203	71.500%	50.000000	303
NC_000917_832192-831878	72.000%	40.000000	315
NC_000917_1594049-1593726	71.000%	50.000000	324
